Incident Number,Province,Incident type,Incident Types,Emergency Level,Reported Date,Discovered Date and Time,Regulation,Status,Company,Latitude,Longitude,Facility Name,Pipeline or Facility Type,Pipeline Name,Pipeline length (km),Pipeline/Equipment Involved?,Equipment Inspected?,No maintenance done on this equipment or component,Substance,Rupture,Released substance type,Release Type,Released volume (m3),Substance carried,Why it Happened,Significant,Activity being performed at time of incident,Workdays lost,Number of fatalities,Number of individuals injured,Number of people evacuated
INC2017-123,Quebec,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,8/31/2017,8/30/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,45.630971,-73.531765,,Transmission,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Engineering and Planning,No,Operation,,,,0
INC2017-122,Quebec,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,8/31/2017,8/30/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,45.630971,-73.531765,,Transmission,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Engineering and Planning,No,Operation,,,,0
INC2017-121,Quebec,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,8/31/2017,8/30/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,45.630971,-73.531765,,Transmission,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Engineering and Planning,No,Operation,,,,0
INC2017-120,Quebec,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,8/31/2017,8/30/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,45.630971,-73.531765,,Transmission,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Engineering and Planning,No,Operation,,,,0
INC2017-117,British Columbia,Fire,Fire,Level I,8/16/2017,8/15/2017 2:00,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.1695,-120.6575,,Transmission,"16 Boundary Lake Pipeline""",49.55772,No,No,No,Not Applicable,No,,Not Applicable,,"Natural Gas, Natural Gas Sweet",Natural or Environmental Forces,No,Construction,,,,0
INC2017-116,British Columbia,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Level II,8/15/2017,8/14/2017 5:30,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.749071,-122.2058,,Transmission,High Pine Expansion,32.30675,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas Sweet,"Human Factors, Inadequate Supervision",Yes,Construction,,,4,0
INC2017-115,Alberta,Release of Substance,Release of Substance,Level I,8/11/2017,8/10/2017 3:55,OPR,Closed,NOVA Gas Transmission Ltd.,50.71329,-112.09327,,Transmission,Countess West Lateral - Nps 4,5.922515,Yes,No,Yes,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,9777,Natural Gas,Natural or Environmental Forces,No,Operation,,,,0
INC2017-114,Alberta,Release of Substance,Release of Substance,Level I,8/10/2017,8/9/2017 4:55,OPR,Closed,NOVA Gas Transmission Ltd.,54.057238,-113.219046,,Transmission,Redwater Lateral - Nps 10,145.4216,Yes,No,Yes,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,17022,Natural Gas,"Engineering and Planning, Maintenance",No,Operation,,,,0
INC2017-111,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,7/31/2017,7/25/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,45.235319,-75.534506,,Transmission,Ottawa Lateral,69.18015,Yes,No,No,Not Applicable,No,,Not Applicable,,"Refined Products-Aviation, Refined Products-Distillate, Refined Products-Gasoline","Engineering and Planning, Maintenance",No,Operation,,,,0
INC2017-110,Saskatchewan,Release of Substance,Release of Substance,Level I,7/27/2017,7/26/2017 10:00,OPR,Closed,Enbridge Pipelines Inc.,50.62028,-105.24194,,Transmission,Line 1,1255.999,Yes,Yes,No,Natural Gas Liquids,No,Natural Gas Liquids,Gas,0.001,Crude Oil,Maintenance,No,Operation,,,,0
INC2017-105,British Columbia,Release of Substance,Release of Substance,Level I,7/25/2017,7/21/2017 5:00,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14630285,-120.6691693,MCMAHON GAS PLANT (MCMAHON),Processing,"",,Yes,No,No,Butane,No,Butane,Gas,11,,Engineering and Planning,No,Operation,,,,0
INC2017-104,Ontario,Fire,Fire,Level I,7/21/2017,7/21/2017 11:00,OPR,Closed,TransCanada PipeLines Limited,48.598185,-88.807598,,Transmission,Line 100-1,2595.725,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Maintenance,No,Maintenance,,,,0
INC2017-103,Manitoba,Release of Substance,Release of Substance,Level I,7/20/2017,7/20/2017 10:00,OPR,Closed,TransCanada PipeLines Limited,50.07617,-99.9867,,Transmission,Line 100-2,3393.427,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,58.7,Natural Gas,Maintenance,No,Operation,,,,0
INC2017-102,Alberta,Release of Substance,Release of Substance,Level I,7/18/2017,5/30/2017 10:30,OPR,Closed,Enbridge Pipelines Inc.,53.544231,-113.349269,,Transmission,"",,Yes,Yes,Yes,Crude Oil - Synthetic,No,Crude Oil - Synthetic,Liquid,12.8,,Engineering and Planning,No,Operation,,,,0
INC2017-101,British Columbia,Release of Substance,Release of Substance,Level I,7/14/2017,7/13/2017 4:00,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14630285,-120.6691693,MCMAHON GAS PLANT (MCMAHON),Processing,"",,Yes,No,No,Natural Gas - Sour,No,Natural Gas - Sour,Gas,300,,"Engineering and Planning, Failure in communication, Inadequate Procurement",Yes,Operation,,,,0
INC2017-100,Alberta,Fire,Fire,Level I,7/14/2017,7/12/2017 4:45,OPR,Closed,NOVA Gas Transmission Ltd.,50.697092,-111.489744,,Transmission,Eastern Alberta M/L Loop #3,36.19978,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Natural or Environmental Forces,No,Operation,,,,0
INC2017-099,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,7/12/2017,7/11/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,44.554447,-75.798016,MAITLAND STATION,Transmission,"",,No,No,No,Not Applicable,No,,Not Applicable,,,"Engineering and Planning, Maintenance",No,Operation,,,,0
INC2017-098,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,7/12/2017,7/10/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,44.236964,-76.84911,DESERONTO STATION,Transmission,"",,No,No,No,Not Applicable,No,,Not Applicable,,,"Engineering and Planning, Maintenance",No,Operation,,,,0
INC2017-097,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,7/12/2017,7/11/2017 10:22,OPR,Closed,NOVA Gas Transmission Ltd.,49.30721239,-114.0149945,,Transmission,Waterton Lateral - Nps 16,2.584061,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Tools and Equipment,No,Operation,,,,0
INC2017-096,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,7/11/2017,7/8/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,44.371,-76.203,,Transmission,Mainline,635.0188,Yes,Yes,Yes,Not Applicable,No,,Not Applicable,,Refined Products-Aviation,"Engineering and Planning, Maintenance, Natural or Environmental Forces",No,Operation,,,,0
INC2017-095,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,7/10/2017,7/9/2017 6:00,OPR,Closed,NOVA Gas Transmission Ltd.,55.89250404,-119.7913826,,Transmission,Henderson Creek Lateral - Nps 6,9.041748,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Engineering and Planning,No,Operation,,,,0
INC2017-094,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,7/10/2017,7/7/2017 3:58,OPR,Closed,NOVA Gas Transmission Ltd.,51.4,-111.79,,Transmission,North Lateral Extension - Nps 16,276.2668,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Tools and Equipment,No,Operation,,,,0
INC2017-093,Alberta,Release of Substance,Release of Substance,Level I,7/6/2017,7/4/2017 10:00,OPR,Closed,Alliance Pipeline Ltd.,49.32403226,-102.2963632,,Transmission,Mainline,1551.609,Yes,Yes,Yes,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,1,Natural Gas,Maintenance,No,Operation,,,,0
INC2017-091,Alberta,Release of Substance,Release of Substance,Level I,6/28/2017,6/27/2017 3:00,OPR,Closed,NOVA Gas Transmission Ltd.,54.04370807,-117.4205423,BERLAND RIVER,Transmission,Grande Prairie Mainline,339.6264,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,2,Natural Gas,Tools and Equipment,No,Operation,,,,0
INC2017-090,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,6/26/2017,11/30/2009 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,44.99186,-75.012816,,Transmission,Ottawa Lateral,69.18015,Yes,No,No,Not Applicable,No,,Not Applicable,,"Refined Products-Aviation, Refined Products-Distillate, Refined Products-Gasoline",Engineering and Planning,No,Operation,,,,0
INC2017-089,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,6/26/2017,6/16/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,44.22481905,-77.0524542,DESERONTO STATION,Transmission,"",,No,No,No,Not Applicable,No,,Not Applicable,,,"Engineering and Planning, Maintenance",No,Operation,,,,0
INC2017-088,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,6/25/2017,6/2/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,43.963574,-78.511896,,Transmission,"",,No,No,No,Not Applicable,No,,Not Applicable,,,"Engineering and Planning, Maintenance",No,Operation,,,,0
INC2017-087,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,6/25/2017,6/2/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,43.94553832,-78.66202139,BOWMANVILLE STATION,Transmission,"",,No,No,No,Not Applicable,No,,Not Applicable,,,"Engineering and Planning, Maintenance",No,Operation,,,,0
INC2017-086,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,6/25/2017,6/2/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,43.94553832,-78.66202139,BOWMANVILLE STATION,Transmission,"",,No,No,No,Not Applicable,No,,Not Applicable,,,"Engineering and Planning, Maintenance",No,Operation,,,,0
INC2017-085,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,6/25/2017,6/2/2017 12:00,OPR,Closed,Trans-Northern Pipelines Inc.,43.9148,-79.04039,,Transmission,Mainline,635.0188,No,No,No,Not Applicable,No,,Not Applicable,,Refined Products-Aviation,"Engineering and Planning, Maintenance, Natural or Environmental Forces",No,Operation,,,,0
INC2017-084,Alberta,Release of Substance,Release of Substance,Level I,6/22/2017,4/18/2017 1:00,OPR,Closed,Enbridge Pipelines Inc.,53.543,-113.354,,Transmission,"",,Yes,Yes,Yes,Crude Oil - Synthetic,No,Crude Oil - Synthetic,Liquid,88,,Engineering and Planning,No,Operation,,,,0
INC2017-083,British Columbia,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,6/22/2017,5/7/2017 9:00,OPR,Closed,Trans Mountain Pipeline ULC,50.201903,-120.64497,,Transmission,Mainline,1596.894,Yes,No,Yes,Not Applicable,No,,Not Applicable,,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",Natural or Environmental Forces,No,Operation,,,,0
INC2017-082,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,6/21/2017,6/21/2017 12:18,OPR,Closed,Enbridge Pipelines Inc.,53.54740268,-113.3557137,EDMONTON TERMINAL,Transmission,"",,Yes,Yes,Yes,Not Applicable,No,,Not Applicable,,,Human Factors,No,Construction,,,,0
INC2017-081,British Columbia,Release of Substance,Release of Substance,Level I,6/21/2017,6/21/2017 5:14,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",54.56227196,-122.6862326,,Transmission,"Spectra - 30 Mainline""",1274.364,No,No,No,Diesel Fuel,No,Diesel Fuel,Liquid,4.2,"Natural Gas, Natural Gas Sweet",Maintenance,Yes,Construction,,,,0
INC2017-080,New Brunswick,Release of Substance,Release of Substance,Level I,6/20/2017,6/19/2017 2:00,OPR,Closed,Emera Brunswick Pipeline Company Ltd.,45.1920299,-66.40157119,,Transmission,Brunswick Pipeline,142.8733,Yes,No,Yes,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0.01,Natural Gas,Natural or Environmental Forces,No,Operation,,,,0
INC2017-079,Alberta,Release of Substance,Release of Substance,Level I,6/19/2017,5/30/2017 3:05,OPR,Closed,NOVA Gas Transmission Ltd.,54.95988,-119.1945,,Transmission,Grande Prairie Mainline Lateral Loop,32.88459,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,7.5,Natural Gas,Natural or Environmental Forces,No,Maintenance,,,,0
INC2017-077,British Columbia,Fire,Fire,Level I,6/13/2017,6/6/2017 2:10,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14630285,-120.6691693,,Gathering,"26 Bc Trunk Pipeline - Downstream""",59.63312,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas Sour,Natural or Environmental Forces,No,Maintenance,,,,0
INC2017-076,Quebec,Release of Substance,Release of Substance,Level I,6/13/2017,6/10/2017 11:05,OPR,Closed,Trans Québec and Maritimes Pipeline Inc.,45.603401,-73.861893,,Transmission,Lateral: Boisbriand,6.461031,Yes,No,Yes,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,1995,Natural Gas,Engineering and Planning,No,Maintenance,,,,0
INC2017-075,Alberta,Release of Substance,Release of Substance,Level I,6/2/2017,5/29/2017 12:00,OPR,Closed,NOVA Gas Transmission Ltd.,53.01993,-112.18718,,Transmission,Bruce Lateral - Nps 8,0.2057038,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,1,Natural Gas,Natural or Environmental Forces,No,Maintenance,,,,0
INC2017-073,British Columbia,Fire,Fire,Level I,5/29/2017,5/27/2017 6:00,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",59.2017,-121.585,,Gathering,Jedney Pipeline,28.49122,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas Sour,Natural or Environmental Forces,No,Operation,,,,0
INC2017-071,British Columbia,Release of Substance,Release of Substance,Level I,5/26/2017,5/26/2017 10:45,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.751823,-121.6811426,,Gathering,"10 Fireweed Pipeline""",23.99862,Yes,No,Yes,Natural Gas - Sour,No,Natural Gas - Sour,Gas,5,Natural Gas Sour,Maintenance,Yes,Operation,,,,0
INC2017-067,Saskatchewan,Release of Substance,Release of Substance,Level I,5/18/2017,5/17/2017 10:20,OPR,Closed,Pembina Prairie Facilities Ltd.,49.55051633,-106.0029569,ASSINIBOIA,Transmission,Vantage,576.5219,Yes,No,No,Natural Gas Liquids,No,Natural Gas Liquids,Gas,0.001,NGL-HVP (Ethane),Standards and Procedures,No,Maintenance,,,,4
INC2017-066,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,5/18/2017,5/18/2017 2:30,OPR,Closed,Enbridge Pipelines Inc.,43.33649161,-80.09731313,NORTH WESTOVER,Transmission,Line 9,859.7003,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Natural or Environmental Forces,No,Operation,,,,0
INC2017-065,British Columbia,"Geo-technical, Hydro-technical or Environmental Activity that Threatens the Safe Operation of a Pipeline, Operation Beyond Design Limits",Operation Beyond Design Limits,Level I,5/13/2017,5/13/2017 12:00,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.677731,-120.774289,,Gathering,"",,No,No,No,Not Applicable,No,,Not Applicable,,,Natural or Environmental Forces,No,Operation,,,,0
INC2017-064,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,5/9/2017,5/8/2017 5:09,OPR,Closed,NOVA Gas Transmission Ltd.,58.476667,-118.571167,,Transmission,Peace River M/L (Zama Lake To Valleyview) - Nps 20,473.8244,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Tools and Equipment,No,Operation,,,,0
INC2017-063,British Columbia,Release of Substance,Release of Substance,Level I,5/9/2017,5/9/2017 5:00,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.56909171,-121.9446616,PINE RIVER GAS PLANT (PRGP),Processing,"",,Yes,Yes,Yes,Sulphur,No,Sulphur,Miscellaneous,0.156,,Maintenance,No,Operation,,,,0
INC2017-062,British Columbia,Release of Substance,Release of Substance,Level I,5/8/2017,5/7/2017 5:00,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.56909171,-121.9446616,PINE RIVER GAS PLANT (PRGP),Processing,"",,Yes,No,No,Sulphur,No,Sulphur,Miscellaneous,1,,Tools and Equipment,No,Operation,,,,0
INC2017-061,Alberta,"Interruption of Pipeline Operations, Operation Beyond Design Limits",Operation Beyond Design Limits,Level I,5/7/2017,5/6/2017 2:06,OPR,Closed,TransCanada Keystone Pipeline GP Ltd.,52.64363744,-111.2775357,HARDISTY WEST INTERCONNECTING FACILITIES BOOSTER PUMP STATION,Transmission,Gibson West Interconnect Pipeline,1.151308,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Maintenance,No,Operation,,,,0
INC2017-060,Saskatchewan,"Interruption of Pipeline Operations, Release of Substance",Release of Substance,Level II,5/6/2017,5/5/2017 3:00,OPR,Closed,Plains Midstream Canada ULC,50.37469,-104.70648,,Transmission,Ptc Mainline: Pinkie Road Crossing,0.4918383,Yes,No,No,Propane,Yes,Propane,Gas,2.5,Natural Gas Liquids,"Engineering and Planning, Failure in communication, Human Factors, Standards and Procedures, Tools and Equipment",No,Operation,,,,0
INC2017-059,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,5/5/2017,5/4/2017 1:16,OPR,Closed,NOVA Gas Transmission Ltd.,53.96114,-112.32891,,Transmission,Ukalta Lateral - Nps 6,10.53207,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Engineering and Planning,No,Operation,,,,0
INC2017-058,British Columbia,Fire,Fire,Level I,5/5/2017,5/4/2017 1:45,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14630285,-120.6691693,MCMAHON GAS PLANT (MCMAHON),Processing,"",,Yes,Yes,Yes,Not Applicable,No,,Not Applicable,,,Standards and Procedures,No,Operation,,,,0
INC2017-057,British Columbia,Release of Substance,Release of Substance,Level I,5/2/2017,5/1/2017 9:10,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14630285,-120.6691693,MCMAHON GAS PLANT (MCMAHON),Processing,"",,Yes,No,Yes,Hydrogen Sulphide,No,Hydrogen Sulphide,Miscellaneous,0.06,,Maintenance,Yes,Operation,,,,0
INC2017-056,Saskatchewan,Explosion,Explosion,Level I,4/30/2017,4/30/2017 10:30,OPR,Closed,Enbridge Pipelines Inc.,50.62028,-105.24194,,Transmission,Line 3,2334.949,Yes,No,Yes,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
INC2017-054,New Brunswick,Release of Substance,Release of Substance,Level I,4/19/2017,,OPR,Closed,Emera Brunswick Pipeline Company Ltd.,45.19199,-66.40071,,Transmission,Brunswick Pipeline,142.8733,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0.01,Natural Gas,"Maintenance, Natural or Environmental Forces",No,Operation,,,,0
INC2017-053,Alberta,Release of Substance,Release of Substance,Level I,4/15/2017,4/15/2017 7:20,OPR,Closed,NOVA Gas Transmission Ltd.,50.69834843,-111.5306333,,Transmission,Alderson Lateral Extension - Nps 16,17.49204,Yes,No,No,Lube Oil,No,Lube Oil,Liquid,1.75,Natural Gas,Engineering and Planning,No,Operation,,,,0
INC2017-052,British Columbia,Release of Substance,Release of Substance,Level I,4/9/2017,4/8/2017 12:45,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.57343158,-121.9438193,Pine Plant Outlet (#99),Processing,Grizzly Pipeline,160.6452,Yes,No,No,Natural Gas - Sour,No,Natural Gas - Sour,Gas,7327,Natural Gas Sour,Maintenance,Yes,Operation,,,,0
INC2017-051,British Columbia,Release of Substance,Release of Substance,Level I,4/8/2017,4/8/2017 6:00,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",58.65432778,-122.6855556,,Processing,"16 Clarke Lake Pipeline Loop""",13.14535,No,No,No,Contaminated Water,No,Contaminated Water,Miscellaneous,3,"Natural Gas, Natural Gas Sour","Human Factors, Standards and Procedures",No,Operation,,,,0
INC2017-050,British Columbia,Fire,Fire,Level I,4/6/2017,4/4/2017 5:30,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14410425,-120.6639331,TAYLOR (STN 1) (STN 1),Processing,"12 Milligan-peejay Pipeline""",50.94684,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas Sour,Natural or Environmental Forces,No,Operation,,,,0
INC2017-049,Alberta,Fire,Fire,Level I,4/4/2017,4/3/2017 1:00,OPR,Closed,NOVA Gas Transmission Ltd.,56.17861,-112.842775,,Transmission,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Maintenance,No,Construction,,,,0
INC2017-048,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,3/30/2017,3/30/2017 5:41,OPR,Closed,NOVA Gas Transmission Ltd.,51.35976855,-111.7425453,OAKLAND,Transmission,North Lateral Extension - Nps 16,276.2668,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Tools and Equipment,No,Operation,,,,0
INC2017-047,Alberta,Fire,Fire,Level I,3/30/2017,3/29/2017 4:30,OPR,Closed,NOVA Gas Transmission Ltd.,55.9663241,-119.5976752,,Transmission,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Human Factors,No,Construction,,,,0
INC2017-046,Ontario,Fire,Fire,Level I,3/27/2017,3/25/2017 2:30,OPR,Closed,TransCanada PipeLines Limited,43.860643,-79.66837,,Transmission,Vaughan Mainline Expansion,11.856,Yes,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,"Maintenance, Tools and Equipment",No,Construction,,,,0
INC2017-045,Alberta,Fire,Fire,Level I,3/22/2017,2/15/2017 10:30,OPR,Closed,NOVA Gas Transmission Ltd.,56.933508,-115.228594,GOODFISH,Transmission,North Central Corridor,378.5193,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas,Human Factors,No,Construction,,,,0
INC2017-044,Alberta,Fire,Fire,Level I,3/22/2017,3/20/2017 2:50,OPR,Closed,NOVA Gas Transmission Ltd.,56.38,-119.92,,Transmission,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Human Factors,No,Construction,,,,0
INC2017-043,Alberta,Release of Substance,Release of Substance,Level II,3/20/2017,3/20/2017 3:30,OPR,Closed,Enbridge Pipelines Inc.,53.54740268,-113.3557137,EDMONTON TERMINAL,Transmission,Unknown,0.6208452,Yes,No,Yes,Crude Oil - Synthetic,No,Crude Oil - Synthetic,Liquid,10,Crude Oil,Maintenance,Yes,Operation,,,,0
INC2017-042,British Columbia,Release of Substance,Release of Substance,Level I,3/19/2017,3/18/2017 10:46,OPR,Closed,Enbridge G and P Canada Pipelines Inc.,55.649905,-122.207216,,Transmission,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,26278.0336,,Natural or Environmental Forces,No,Operation,,,,0
INC2017-041,British Columbia,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Level I,3/19/2017,3/17/2017 3:40,OPR,Closed,Enbridge G and P Canada Pipelines Inc.,55.78,-121.53,,Transmission,"",,No,No,No,Not Applicable,No,,Not Applicable,,,Tools and Equipment,Yes,Construction,0,,1,0
INC2017-040,Alberta,Fire,Fire,Level I,3/17/2017,3/16/2017 12:30,OPR,Closed,NOVA Gas Transmission Ltd.,56.4,-119.9,,Transmission,"",,No,No,No,Not Applicable,No,,Not Applicable,,,"Failure in communication, Human Factors",No,Construction,,,,0
INC2017-039,Alberta,Release of Substance,Release of Substance,Level I,3/15/2017,3/13/2017 3:00,OPR,Closed,NOVA Gas Transmission Ltd.,56.36,-119.92,,Transmission,Northwest M/L (Boundary Lake Section) - Nps 36,112.4552,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,25000,Natural Gas,Maintenance,No,Operation,,,,0
INC2017-038,Saskatchewan,Fire,Fire,Level I,3/14/2017,3/14/2017 6:50,OPR,Closed,Enbridge Pipelines Inc.,51.86826399,-109.036068,KERROBERT,Transmission,Line 4,1248.91,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Construction,,,,0
INC2017-037,Manitoba,Fire,Fire,Level I,3/8/2017,3/7/2017 7:28,OPR,Closed,TransCanada PipeLines Limited,50.07237,-100,STN 30 - RAPID CITY,Transmission,"",,Yes,Yes,Yes,Not Applicable,No,,Not Applicable,,,Engineering and Planning,No,Operation,,,,0
INC2017-036,British Columbia,Release of Substance,Release of Substance,Level I,3/7/2017,3/6/2017 1:00,OPR,Closed,Pouce Coupé Pipe Line Ltd. as agent and general partner of the Pembina North Limited Partnership,55.94382999,-120.19327,SWEETWATER,Transmission,Northern System Relocation,1.407171,Yes,No,No,Natural Gas Liquids,No,Natural Gas Liquids,Gas,0.001,Crude Oil,"Human Factors, Tools and Equipment",No,Construction,,,,0
INC2017-035,British Columbia,Release of Substance,Release of Substance,Level I,3/4/2017,3/4/2017 10:00,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.56909171,-121.9446616,PINE RIVER GAS PLANT (PRGP),Processing,"",,Yes,No,No,Hydrogen Sulphide,No,Hydrogen Sulphide,Miscellaneous,0.59,,Maintenance,Yes,Operation,,,,0
INC2017-034,Alberta,Fire,Fire,Level I,3/4/2017,3/3/2017 5:00,OPR,Closed,NOVA Gas Transmission Ltd.,55.8748,-110.774,,Transmission,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Failure in communication,No,Construction,,,,0
INC2017-032,Alberta,Fire,Fire,Level I,3/2/2017,3/2/2017 5:00,OPR,Closed,Enbridge Pipelines (NW) Inc.,61.843302,-121.33647,,Transmission,Line 21,989.5585,No,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Maintenance,,,,0
INC2017-031,British Columbia,Release of Substance,Release of Substance,Level I,2/28/2017,2/28/2017 6:30,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.56909171,-121.9446616,PINE RIVER GAS PLANT (PRGP),Processing,"",,Yes,No,No,Sulphur,No,Sulphur,Miscellaneous,5.5,,"Engineering and Planning, Human Factors",No,Operation,,,,0
INC2017-030,Alberta,Fire,Fire,Level I,2/26/2017,2/25/2017 9:15,OPR,Closed,NOVA Gas Transmission Ltd.,53.64385,-116.69339,,Transmission,"",,No,No,No,Not Applicable,No,,Not Applicable,,,"Engineering and Planning, Maintenance, Standards and Procedures, Tools and Equipment",No,Construction,,,,0
INC2017-029,British Columbia,Serious Injury (CER or TSB),Serious Injury (CER or TSB),Level I,2/24/2017,2/21/2017 9:00,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",54.34,-122.44,,Transmission,"30 Fort St. John Mainline""",,No,No,No,Not Applicable,No,,Not Applicable,,,"Human Factors, Maintenance",Yes,Construction,,,1,0
