Incident Number,Province,Incident type,Incident Types,Emergency Level,Reported Date,Discovered Date and Time,Regulation,Status,Company,Latitude,Longitude,Facility Name,Pipeline or Facility Type,Pipeline Name,Pipeline length (km),Pipeline/Equipment Involved?,Equipment Inspected?,No maintenance done on this equipment or component,Substance,Rupture,Released substance type,Release Type,Released volume (m3),Substance carried,Why it Happened,Significant,Activity being performed at time of incident,Workdays lost,Number of fatalities,Number of individuals injured,Number of people evacuated
INC2011-036,Alberta,Release of Substance,Release of Substance,Level I,3/2/2011,2/27/2011 11:28,OPR,Closed,NOVA Gas Transmission Ltd.,52.36527,-113.08174,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2011-035,Alberta,Fire,Fire,Level I,3/2/2011,2/26/2011 2:20,OPR,Closed,NOVA Gas Transmission Ltd.,57.25289,-111.05669,,,Kearl Extension,22.66,No,No,No,Not Applicable,No,,Not Applicable,,Natural Gas Sweet,"Human Factors, Inadequate Supervision",No,Operation,,,,0
INC2011-032,Nova Scotia,Release of Substance,Release of Substance,Level I,2/23/2011,2/23/2011 2:00,OPR,Closed,Maritimes & Northeast Pipeline Management Ltd.,45.3,-62.983333,,,Mne - Halifax Lateral Pressure Reducing Station,,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,3,,Maintenance,No,Operation,,,,0
INC2011-030,Alberta,Release of Substance,Release of Substance,Level I,2/20/2011,2/20/2011 1:00,OPR,Closed,NOVA Gas Transmission Ltd.,58.44721,-119.22429,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Engineering and Planning,No,Operation,,,,0
INC2011-029,Ontario,"Fire, Release of Substance","Fire, Release of Substance",Level III,2/20/2011,2/19/2011 11:30,OPR,Closed,TransCanada PipeLines Limited,49.58894444,-87.9718889,,,Line 100-2,3393.427,Yes,No,No,Natural Gas - Sweet,Yes,Natural Gas - Sweet,Gas,2790000,Natural Gas,Maintenance,Yes,Operation,,,,0
INC2011-027,New Brunswick,Release of Substance,Release of Substance,Level I,2/18/2011,2/18/2011 1:55,OPR,Closed,Maritimes & Northeast Pipeline Management Ltd.,45.887,-66.551169,,,Mainline,574.8808,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,Natural Gas,Maintenance,No,Operation,,,,0
INC2011-026,Ontario,Release of Substance,Release of Substance,Level I,2/14/2011,2/11/2011 6:00,OPR,Closed,TransCanada PipeLines Limited,46.37977,-79.46897,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Standards and Procedures,No,Operation,,,,0
INC2011-019,Alberta,Fire,Fire,Level I,2/8/2011,2/4/2011 12:00,OPR,Closed,TransCanada Keystone Pipeline GP Ltd.,52.29334,-111.09092,,,Tcp Keystone Lake Send Pump Station 6,,Yes,No,No,Not Applicable,No,,Not Applicable,,,"Maintenance, Standards and Procedures",No,Operation,,,,0
INC2011-018,New Brunswick,Release of Substance,Release of Substance,Level I,2/7/2011,2/1/2011 5:30,OPR,Closed,Maritimes & Northeast Pipeline Management Ltd.,46.11307222,-64.7157694,,,Muncton Prs,,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2011-017,New Brunswick,Release of Substance,Release of Substance,Level I,2/4/2011,1/28/2011 9:00,OPR,Closed,Maritimes & Northeast Pipeline Management Ltd.,45.88657778,-66.5511694,,,Mainline,574.8808,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,Natural Gas,Maintenance,No,Operation,,,,0
INC2011-016,Saskatchewan,Release of Substance,Release of Substance,Level I,2/3/2011,2/1/2011 8:00,OPR,Closed,Foothills Pipe Lines (Saskatchewan) Ltd.,49.017155,-107.831853,,,Foothills - Monchy Compressor Stn,,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,2,,Maintenance,No,Operation,,,,0
INC2011-014,Alberta,Fire,Fire,Level I,2/2/2011,1/28/2011 12:00,OPR,Closed,TransCanada Keystone Pipeline GP Ltd.,52.29321,-111.09081,,,Tcp Keystone Lake Send Pump Station 6,,Yes,No,No,Not Applicable,No,,Not Applicable,,,Engineering and Planning,No,Operation,,,,0
INC2011-013,British Columbia,Release of Substance,Release of Substance,Level I,2/2/2011,2/1/2011 7:00,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14642,-120.66907,,,Wei - Mcmahon Gas Plant (Taylor Gas Plant),,Yes,No,No,Propane,No,Propane,Gas,37,,Human Factors,No,Maintenance,,,,0
INC2011-012,Ontario,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,1/31/2011,1/29/2011 4:02,OPR,Closed,Trans-Northern Pipelines Inc.,43.69257,-79.61074,,,Toronto Airport Lateral,4.016945,Yes,No,No,Not Applicable,No,,Not Applicable,,"Refined Products-Aviation, Refined Products-Distillate, Refined Products-Gasoline",Engineering and Planning,No,Operation,,,,0
INC2011-011,Alberta,Release of Substance,Release of Substance,Level I,1/31/2011,1/31/2011 9:00,OPR,Closed,NOVA Gas Transmission Ltd.,55.57555,-113.87749,,,Ngtl - Martin Hills Meter Station,,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2011-008,Ontario,Release of Substance,Release of Substance,Level I,1/21/2011,1/18/2011 8:30,OPR,Closed,TransCanada PipeLines Limited,43.96,-78.81941,,,Tcpl - Station 134 (Bowmanville Compressor Stn),,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,1000,,Maintenance,No,Operation,,,,0
INC2011-007,British Columbia,Release of Substance,Release of Substance,Level I,1/20/2011,1/20/2011 12:00,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14641,-120.66907,,,Wei - Mcmahon Gas Plant (Taylor Gas Plant),,Yes,No,No,Propane,No,Propane,Gas,4.2,,"Maintenance, Natural or Environmental Forces, Tools and Equipment",No,Operation,,,,0
INC2011-004,Ontario,Release of Substance,Release of Substance,Level I,1/13/2011,1/12/2011 2:00,OPR,Closed,TransCanada PipeLines Limited,46.84822454,-79.8090245,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,192,,Maintenance,No,Operation,,,,0
INC2011-003,Alberta,Fire,Fire,Level I,1/9/2011,1/8/2011 9:00,OPR,Closed,Alliance Pipeline Ltd.,54.5224,-118.10037,,,Alliance - Moose River Meter Station,,Yes,No,No,Not Applicable,No,,Not Applicable,,,"Maintenance, Standards and Procedures",No,Operation,,,,0
INC2010-177,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/11/2010,11/11/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,53.547403,-113.355714,,,Line 4,1248.91,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
INC2010-176,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/11/2010,11/11/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,53.547403,-113.355714,,,Line 4,1248.91,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
INC2010-175,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/11/2010,11/11/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,53.547403,-113.355714,,,Line 4,1248.91,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
INC2010-174,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/11/2010,11/11/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,53.547403,-113.355714,,,Line 4,1248.91,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
INC2010-173,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/11/2010,11/11/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,53.547403,-113.355714,,,Line 4,1248.91,Yes,No,No,Not Applicable,No,,Not Applicable,,Crude Oil,Human Factors,No,Operation,,,,0
