Table name,Column name,Full column name,Description (English),Data type,Character max length,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,HazardTypeID,Hazard type identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,HazardTypeId_DisplayEng,Hazard type (English),"The type of hazard, in English. ",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,HazardTypeId_DisplayFre,Hazard type (French),"The type of hazard, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ActivityAuthorizedID,Activity authorized identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ActivityAuthorizedID_DisplayEng,Activity authorized (English),"Indicates whether the activity was authorized, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ActivityAuthorizedID_DisplayFre,Activity authorized (French),"Indicates whether the activity was authorized, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ThreatToPipelineID,Threat to pipeline identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ThreatToPipelineID_DisplayEng,Threat to pipeline (English),"The type of threat to the structural integrity of the pipeline, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ThreatToPipelineID_DisplayFre,Threat to pipeline (French),"The type of threat to the structural integrity of the pipeline, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,EntryDate,Entry date,The date on which the occurrence was entered into the TSB database.,datetime,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,DailyReleasedDate,Daily released date,The date on which the initial occurrence details were released to the occurrence notification log.,datetime,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ComponentDetails,Component details,Additional details or a short description of the pipeline equipment or component affected (when applicable).,nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,NoEvacuated,Number evacuated,The total number of persons evacuated as a result of the occurrence (when applicable).,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,QuantityLost,Quantity lost,"The quantity of product released (when applicable), measured in cubic metres.",decimal,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,QuantityRecovered,Quantity recovered,"The quantity of product recovered (when applicable), measured in cubic metres. ",decimal,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OccSummary,Occurrence summary,"A brief description of the occurrence, in the language in which it was received.",nvarchar,-1,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OutOfServiceHours,Out of service (hours),"The length of time, in hours, for which the operation of the pipeline was interrupted.",decimal,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,LocationKmPost,Location kilometre post,The kilometre post of the occurrence location (when applicable).,nvarchar,50,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,PipelineDiameter,Pipeline diameter,"The nominal pipe size, in inches.",decimal,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,SafetyCommunicationRefNo,Safety communication reference number,The reference numbers of any safety communications related to the occurrence that may have been issued by the TSB.,nvarchar,50,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ReleasedFromLinePipeBodyInd,Released from line pipe body,Indicates whether product was released from the line pipe body.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,FatalSeriousInjuriesInd,Fatal/serious injuries,Indicates whether the occurrence resulted in any fatal or serious injuries.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,DamageToThirdPartyInd,Damage to third-party properties,Indicates whether property other than that owned by the pipeline operator was damaged as a result of the occurrence.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,FireInd,Fire/ignition,Indicates whether there was fire or ignition.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ExplosionInd,Explosion,Indicates whether there was an explosion.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ProductReleasedInd,Product released,Indicates whether product was released. ,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ProductReleasedID,Product released identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ProductReleasedDisplayEng,Product released (English),"The product that was released, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ProductReleasedDisplayFre,Product released (French),"The product that was released, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,MetallurgicalReportInd,Metallurgical report,Indicates whether a metallurgical report in relation to this occurrence is on file.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,InterruptionOfPipelineOpsInd,Interruption of pipeline operations,Indicates whether the operation of the pipeline was interrupted.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,EvacuationInd,Evacuation,Indicates whether there was an evacuation.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ReportedByTelephoneInd,Reported by telephone,Indicates whether the occurrence was reported to the TSB by telephone.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,RuptureInd,Rupture,Indicates whether there was a pipeline rupture.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OperationBeyondLimitsInd,Operation beyond limits,Indicates whether the pipeline was operated beyond design limits or operating restrictions.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,OtherModeTransportAffectedInd,Other mode of transportation affected,Indicates whether the pipeline restricted the safe operation of any mode of transportation.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ToxicPlumeInd,Toxic plume,Indicates whether there was a toxic plume.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ProductLeftCoPropertyRowInd,Event off company property or right-of-way,Indicates whether the released product left company property or the right-of-way.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,FugitiveEmissionInd,Fugitive emission,Indicates whether the released product is considered a fugitive gas emission.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,SafetyCommunicationInd,Safety communication issued,Indicates whether any safety communications related to the occurrence have been issued by the TSB.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TerrainEnvironmentalHazardInd,Terrain/environmental hazard,"Indicates whether geotechnical, hydrotechnical, or environmental activity posed a threat to the safe operation of the pipeline.",bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,DeployedInd,Deployed,Indicates whether TSB investigators were deployed to the occurrence site.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,LineStrikeInd,Object came into contact with pipeline,Indicates whether the pipeline sustained damage that affected its safe operation as a result of another object coming into contact with it.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,SignificantEnvironmentalImpactInd,Significant environmental impact,Indicates whether the occurrence resulted in any significant environmental impacts.,bit,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ReportedDate,Reported date,The date on which this occurrence was reported to the TSB. Date format is YYYY-MM-DD.,date,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,ReportedTime,Reported time,The time at which this occurrence was reported to the TSB. Time format is hh:mm (24-hour clock).,time,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,Notification_Details_TimeZoneID,Notification time zone identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,Notification_Details_TimeZoneID_DisplayEng,Notification time zone (English),"The time zone for the time at which the occurrence was reported to the TSB, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,Notification_Details_TimeZoneID_DisplayFre,Notification time zone (French),"The time zone for the time at which the occurrence was reported to the TSB, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,Notification_Details_ProvinceID,Notification province identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,Notification_Details_ProvinceID_DisplayEng,Notification province (English),"The province of the pipeline company contact person, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,Notification_Details_ProvinceID_DisplayFre,Notification province (French),"The province of the pipeline company contact person, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TSBNotifiedNEBDate,Date National Energy Board was notified by TSB,"The date on which the TSB notified the National Energy Board, if applicable. Date format is YYYY-MM-DD.",date,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TSBNotifiedNEBTime,Time National Energy Board was notified by TSB,"The time at which the TSB notified the National Energy Board, if applicable (Eastern time). Time format is hh:mm (24-hour clock).",time,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,DateOfCall,Date call received by TSB,The date on which the TSB received the notification call. Date format is YYYY-MM-DD.,date,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TimeOfCall,Time call received by TSB,The time at which the TSB received the notification call (Eastern time). Time format is hh:mm (24-hour clock).,time,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TotalSeriousInjuries,Total serious injuries,The total number of persons seriously injured as a result of the occurrence.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_OCCURRENCE_PUBLIC,TotalFatalInjuries,Total fatal injuries,The total number of persons fatally injured as a result of the occurrence.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_INJURIES_PUBLIC,OccNo,Occurrence number,"The TSB occurrence number; a unique identifier for the occurrence. The ""P"" is to identify Pipeline mode followed by 2 digits to identify the year of the occurrence. The letter after the year is to identify the TSB region responsible for investigating the occurrence. This is followed by the sequential number assigned by the PODS application.",nvarchar,8,,,,,,,,,,,,,,,,,,,,,,,
VW_INJURIES_PUBLIC,OccID,Occurrence identification number,The occurrence identification number; a unique identifier for the occurrence assigned by PODS.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_INJURIES_PUBLIC,InjuryID,Injury identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_INJURIES_PUBLIC,InjuryCategoryID,Injury category identification number,A system-generated number for the purposes of database administration.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_INJURIES_PUBLIC,InjuryCategoryID_DisplayEng,Injury category (English),"The category (role) of the injured person, in English.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_INJURIES_PUBLIC,InjuryCategoryID_DisplayFRE,Injury category (French),"The category (role) of the injured person, in French.",nvarchar,255,,,,,,,,,,,,,,,,,,,,,,,
VW_INJURIES_PUBLIC,Fatal,Fatal,The number of fatally injured persons.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
VW_INJURIES_PUBLIC,Serious,Serious,The number of seriously injured persons.,int,NULL,,,,,,,,,,,,,,,,,,,,,,,
